year,month,UNRATE,USREC,FEDFUNDS,SP500_TR
1955,1,4.9,0,1.39,0.02170115
1955,2,4.7,0,1.29,0.03706304
1955,3,4.6,0,1.35,-0.00434901
1955,4,4.7,0,1.43,0.03808979
1955,5,4.3,0,1.43,-0.00077977
1955,6,4.2,0,1.64,0.06145833
1955,7,4.0,0,1.68,0.07647618
1955,8,4.2,0,1.96,-0.00296063
1955,9,4.1,0,2.18,0.04819703
1955,10,4.3,0,2.24,-0.047236
1955,11,4.2,0,2.35,0.07067468
1955,12,4.2,0,2.48,0.01238413
1956,1,4.0,0,2.45,-0.02382264
1956,2,3.9,0,2.50,0.00955077
1956,3,4.2,0,2.50,0.07211719
1956,4,4.0,0,2.62,0.01486862
1956,5,4.3,0,2.75,-0.02834431
1956,6,4.3,0,2.71,-0.00257843
1956,7,4.4,0,2.75,0.05751266
1956,8,4.1,0,2.73,-0.00282447
1956,9,3.9,0,2.95,-0.03086547
1956,10,3.9,0,2.96,-0.00959531
1956,11,4.3,0,2.88,-0.00718474
1956,12,4.2,0,2.94,0.01802885
