year,month,UNRATE,USREC,FEDFUNDS,SP500_TR
1965,1,4.9,0,3.90,0.02822442
1965,2,5.1,0,3.98,0.00976673
1965,3,4.7,0,4.05,0.00337176
1965,4,4.8,0,4.09,0.01559561
1965,5,4.6,0,4.10,0.01734493
1965,6,4.6,0,4.05,-0.04505488
1965,7,4.4,0,4.09,0.00104526
1965,8,4.4,0,4.12,0.02120218
1965,9,4.3,0,4.02,0.03597718
1965,10,4.2,0,4.08,0.02498695
1965,11,4.1,0,4.10,0.01077798
1965,12,4.0,0,4.32,-0.00209803
1966,1,4.0,0,4.42,0.01982267
1966,2,3.8,0,4.60,-0.00428633
1966,3,3.8,0,4.66,-0.03860539
1966,4,3.8,0,4.67,0.0332252
1966,5,3.9,0,4.90,-0.05006065
1966,6,3.8,0,5.17,-0.00557924
1966,7,3.8,0,5.30,0.00020335
1966,8,3.8,0,5.53,-0.05767513
1966,9,3.7,0,5.40,-0.03222773
1966,10,3.7,0,5.53,-0.00565123
1966,11,3.6,0,5.76,0.05315341
1966,12,3.8,0,5.40,0.00715109
1967,1,3.9,0,4.94,0.04131317
1967,2,3.8,0,5.00,0.03731005
1967,3,3.8,0,4.53,0.02634692
1967,4,3.8,0,4.05,0.0199247
1967,5,3.8,0,3.94,0.02057681
1967,6,3.9,0,3.98,-0.00991828
1967,7,3.8,0,3.79,0.01993025
1967,8,3.8,0,3.90,0.0185225
1967,9,3.8,0,3.99,0.01654496
1967,10,4.0,0,3.88,0.00097415
1967,11,3.9,0,4.13,-0.02881734
1967,12,3.8,0,4.51,0.03111735
1968,1,3.7,0,4.61,-0.00016614
1968,2,3.8,0,4.71,-0.04256103
1968,3,3.7,0,5.05,-0.0155831
1968,4,3.5,0,5.76,0.07662975
1968,5,3.5,0,6.12,0.02558854
1968,6,3.7,0,6.07,0.02941828
1968,7,3.7,0,6.03,0.00050027
1968,8,3.5,0,6.03,-0.01932812
1968,9,3.4,0,5.78,0.03508817
1968,10,3.4,0,5.91,0.02718273
1968,11,3.4,0,5.82,0.01786823
1968,12,3.4,0,6.02,0.01286369
1969,1,3.4,0,6.30,-0.03984351
1969,2,3.4,0,6.61,-0.00237745
1969,3,3.4,0,6.79,-0.01912972
1969,4,3.4,0,7.41,0.02275092
1969,5,3.4,0,8.67,0.03514314
1969,6,3.5,0,8.90,-0.04970523
1969,7,3.5,0,8.61,-0.04204772
1969,8,3.5,0,9.19,-0.00283028
1969,9,3.7,0,9.15,0.00629114
1969,10,3.7,0,9.00,0.01346712
1969,11,3.5,0,8.85,0.00997755
1969,12,3.5,0,8.97,-0.05027197
