year,month,UNRATE,USREC,FEDFUNDS,SP500_TR
1951,1,3.7,0,,0.08019692
1951,2,3.4,0,,0.04315311
1951,3,3.4,0,,-0.01106061
1951,4,3.1,0,,0.01931472
1951,5,3.0,0,,0.00633618
1951,6,3.2,0,,-0.01139991
1951,7,3.1,0,,0.02361435
1951,8,3.1,0,,0.04960226
1951,9,3.3,0,,0.03130916
1951,10,3.5,0,,0.00015378
1951,11,3.5,0,,-0.02266456
1951,12,3.1,0,,0.03599736
1952,1,3.2,0,,0.03835017
1952,2,3.1,0,,-0.01330898
1952,3,2.9,0,,0.00750877
1952,4,2.9,0,,0.00206496
1952,5,3.0,0,,0.00463353
1952,6,3.0,0,,0.03248349
1952,7,3.2,0,,0.03366831
1952,8,3.4,0,,0.00880516
1952,9,3.1,0,,-0.01108684
1952,10,3.0,0,,-0.01615325
1952,11,2.8,0,,0.03662864
1952,12,2.7,0,,0.04504594
