year,month,UNRATE,USREC,FEDFUNDS,SP500_TR
2016,1,4.8,0,0.34,-0.06418959
2016,2,4.9,0,0.38,-0.005492
2016,3,5.0,0,0.36,0.06363442
2016,4,5.1,0,0.37,0.02832057
2016,5,4.8,0,0.37,-0.00303589
2016,6,4.9,0,0.38,0.0106727
2016,7,4.8,0,0.39,0.03298199
2016,8,4.9,0,0.40,0.01199994
2016,9,5.0,0,0.40,-0.00437942
2016,10,4.9,0,0.40,-0.00505118
2016,11,4.7,0,0.41,0.01202029
2016,12,4.7,0,0.54,0.03946823
2017,1,4.7,0,0.65,0.01438476
2017,2,4.6,0,0.66,0.02577276
2017,3,4.4,0,0.79,0.01750068
2017,4,4.4,0,0.90,-0.00153018
2017,5,4.4,0,0.91,0.01693362
2017,6,4.3,0,1.04,0.01777402
2017,7,4.3,0,1.15,0.00988968
2017,8,4.4,0,1.16,0.00248881
2017,9,4.3,0,1.15,0.01654337
2017,10,4.2,0,1.15,0.02735646
2017,11,4.2,0,1.16,0.01590395
2017,12,4.1,0,1.30,0.028843
2018,1,4.0,0,1.41,0.04863014
2018,2,4.1,0,1.42,-0.02885621
2018,3,4.0,0,1.51,0.00065677
2018,4,4.0,0,1.69,-0.01662954
2018,5,3.8,0,1.70,0.01962657
2018,6,4.0,0,1.82,0.02113988
2018,7,3.8,0,1.91,0.01582103
2018,8,3.8,0,1.91,0.02452147
2018,9,3.7,0,1.95,0.0168106
2018,10,3.8,0,2.19,-0.03847636
2018,11,3.8,0,2.20,-0.02074702
2018,12,3.9,0,2.27,-0.05561074
2019,1,4.0,0,2.40,0.01736924
2019,2,3.8,0,2.40,0.0583017
2019,3,3.8,0,2.41,0.01949222
2019,4,3.7,0,2.42,0.03724346
2019,5,3.6,0,2.39,-0.01530701
2019,6,3.6,0,2.38,0.01405856
2019,7,3.7,0,2.40,0.03828442
2019,8,3.6,0,2.13,-0.03133355
2019,9,3.5,0,2.04,0.03086323
2019,10,3.6,0,1.83,0.00010753
2019,11,3.6,0,1.55,0.04434644
2019,12,3.6,0,1.55,0.02470232
