year,month,UNRATE,USREC,FEDFUNDS,SP500_TR
1992,1,7.3,0,4.03,0.07358884
1992,2,7.4,0,4.06,-0.00600045
1992,3,7.4,0,3.98,-0.0101157
1992,4,7.4,0,3.73,0.00264303
1992,5,7.6,0,3.82,0.0206835
1992,6,7.8,0,3.76,-0.01329123
1992,7,7.7,0,3.25,0.01912609
1992,8,7.6,0,3.30,0.0094219
1992,9,7.6,0,3.22,0.00378851
1992,10,7.3,0,3.10,-0.01182321
1992,11,7.4,0,3.09,0.02756834
1992,12,7.4,0,2.92,0.03271332
1993,1,7.3,0,3.02,0.00143339
1993,2,7.1,0,3.03,0.01724887
1993,3,7.0,0,3.07,0.02150781
1993,4,7.1,0,2.96,-0.01341499
1993,5,7.1,0,3.00,0.00724976
1993,6,7.0,0,3.04,0.00865431
1993,7,6.9,0,3.06,0.00061004
1993,8,6.8,0,3.03,0.01762466
1993,9,6.7,0,3.09,0.01354972
1993,10,6.8,0,2.99,0.0124227
1993,11,6.6,0,3.02,7.904e-05
1993,12,6.5,0,2.96,0.0088754
1994,1,6.6,0,3.05,0.01736655
1994,2,6.6,0,3.25,-0.00074936
1994,3,6.5,0,3.34,-0.01423053
1994,4,6.4,0,3.56,-0.03345599
1994,5,6.1,0,4.01,0.01059051
1994,6,6.1,0,4.25,0.01108893
1994,7,6.1,0,4.26,-0.00518326
1994,8,6.0,0,4.47,0.03082632
1994,9,5.9,0,4.73,0.00817824
1994,10,5.8,0,4.76,-0.00442342
1994,11,5.6,0,5.29,-0.00368385
1994,12,5.5,0,5.45,-0.01024381
1995,1,5.6,0,5.53,0.02451357
1995,2,5.4,0,5.92,0.03819094
1995,3,5.4,0,5.98,0.02557997
1995,4,5.8,0,6.05,0.03216792
1995,5,5.6,0,6.01,0.033488
1995,6,5.6,0,6.00,0.0317927
1995,7,5.7,0,5.85,0.03548716
1995,8,5.7,0,5.74,0.00514171
1995,9,5.6,0,5.80,0.03718708
1995,10,5.5,0,5.76,0.00913575
1995,11,5.6,0,5.80,0.02359386
1995,12,5.6,0,5.60,0.03390117
1996,1,5.6,0,5.56,0.00163981
1996,2,5.5,0,5.22,0.05905796
1996,3,5.5,0,5.31,-0.00199372
1996,4,5.6,0,5.22,0.00197772
1996,5,5.6,0,5.24,0.02355554
1996,6,5.3,0,5.27,0.01279308
1996,7,5.5,0,5.40,-0.03474944
1996,8,5.1,0,5.22,0.03077435
1996,9,5.2,0,5.30,0.02025362
1996,10,5.2,0,5.24,0.04120486
1996,11,5.4,0,5.31,0.05053032
1996,12,5.4,0,5.29,0.01199134
