year,month,UNRATE,USREC,FEDFUNDS
2002,1,5.7,0,1.73
2002,2,5.7,0,1.74
2002,3,5.7,0,1.73
2002,4,5.9,0,1.75
2002,5,5.8,0,1.75
2002,6,5.8,0,1.75
2002,7,5.8,0,1.73
2002,8,5.7,0,1.74
2002,9,5.7,0,1.75
2002,10,5.7,0,1.75
2002,11,5.9,0,1.34
2002,12,6.0,0,1.24
2003,1,5.8,0,1.24
2003,2,5.9,0,1.26
2003,3,5.9,0,1.25
2003,4,6.0,0,1.26
2003,5,6.1,0,1.26
2003,6,6.3,0,1.22
2003,7,6.2,0,1.01
2003,8,6.1,0,1.03
2003,9,6.1,0,1.01
2003,10,6.0,0,1.01
2003,11,5.8,0,1.00
2003,12,5.7,0,0.98
2004,1,5.7,0,1.00
2004,2,5.6,0,1.01
2004,3,5.8,0,1.00
2004,4,5.6,0,1.00
2004,5,5.6,0,1.00
2004,6,5.6,0,1.03
2004,7,5.5,0,1.26
2004,8,5.4,0,1.43
2004,9,5.4,0,1.61
2004,10,5.5,0,1.76
2004,11,5.4,0,1.93
2004,12,5.4,0,2.16
2005,1,5.3,0,2.28
2005,2,5.4,0,2.50
2005,3,5.2,0,2.63
2005,4,5.2,0,2.79
2005,5,5.1,0,3.00
2005,6,5.0,0,3.04
2005,7,5.0,0,3.26
2005,8,4.9,0,3.50
2005,9,5.0,0,3.62
2005,10,5.0,0,3.78
2005,11,5.0,0,4.00
2005,12,4.9,0,4.16
