year,month,UNRATE,USREC,FEDFUNDS,SP500_TR
1962,1,5.8,0,2.15,-0.03486355
1962,2,5.5,0,2.37,0.019103
1962,3,5.6,0,2.85,0.00341783
1962,4,5.6,0,2.78,-0.02944152
1962,5,5.5,0,2.36,-0.0718426
1962,6,5.5,0,2.68,-0.11411864
1962,7,5.4,0,2.71,0.02718358
1962,8,5.7,0,2.93,0.03024008
1962,9,5.6,0,2.90,-0.0059239
1962,10,5.4,0,2.90,-0.02853927
1962,11,5.7,0,2.94,0.07203331
1962,12,5.5,0,2.93,0.04626083
1963,1,5.7,0,2.92,0.04147599
1963,2,5.9,0,3.00,0.01596389
1963,3,5.7,0,2.98,-0.00107453
1963,4,5.7,0,2.90,0.04980289
1963,5,5.9,0,3.00,0.02271588
1963,6,5.6,0,2.99,0.0021861
1963,7,5.6,0,3.02,-0.01221494
1963,8,5.4,0,3.49,0.03031546
1963,9,5.5,0,3.48,0.02894008
1963,10,5.5,0,3.50,0.00502554
1963,11,5.7,0,3.48,-0.00303908
1963,12,5.5,0,3.38,0.02396034
1964,1,5.6,0,3.48,0.0333206
1964,2,5.4,0,3.48,0.01481723
1964,3,5.4,0,3.43,0.02072835
1964,4,5.3,0,3.47,0.01694868
1964,5,5.1,0,3.50,0.01222097
1964,6,5.2,0,3.50,-0.00348943
1964,7,4.9,0,3.42,0.03963111
1964,8,5.0,0,3.50,-0.01223664
1964,9,5.1,0,3.45,0.0196748
1964,10,5.1,0,3.36,0.01972186
1964,11,4.8,0,3.52,0.00938912
1964,12,5.0,0,3.85,-0.01488374
