year,month,UNRATE,USREC,FEDFUNDS,SP500_TR
1971,1,5.9,0,4.14,0.04109754
1971,2,5.9,0,3.72,0.04150176
1971,3,6.0,0,3.71,0.02830982
1971,4,5.9,0,4.16,0.03673584
1971,5,5.9,0,4.63,-0.01108145
1971,6,5.9,0,4.91,-0.01596129
1971,7,6.0,0,5.31,-0.00463241
1971,8,6.1,0,5.57,-0.01517396
1971,9,6.0,0,5.55,0.02486117
1971,10,5.8,0,5.20,-0.01864241
1971,11,6.0,0,4.91,-0.04372095
1971,12,6.0,0,4.14,0.07163002
1972,1,5.8,0,3.51,0.0442254
1972,2,5.7,0,3.30,0.02086964
1972,3,5.8,0,3.83,0.02619613
1972,4,5.7,0,4.17,0.01258898
1972,5,5.7,0,4.27,-0.00775888
1972,6,5.7,0,4.46,0.00516094
1972,7,5.6,0,4.55,-0.00503601
1972,8,5.6,0,4.81,0.03783945
1972,9,5.5,0,4.87,-0.0121021
1972,10,5.6,0,5.05,0.00419206
1972,11,5.3,0,5.06,0.05255982
1972,12,5.2,0,5.33,0.02313206
