year,month,UNRATE,USREC,FEDFUNDS,SP500_TR
1983,1,10.4,0,8.68,0.0392655
1983,2,10.4,0,8.51,0.02130785
1983,3,10.3,0,8.77,0.03866371
1983,4,10.2,0,8.80,0.04197937
1983,5,10.1,0,8.63,0.0442454
1983,6,10.1,0,8.98,0.01754012
1983,7,9.4,0,9.37,0.00709135
1983,8,9.5,0,9.56,-0.02406188
1983,9,9.2,0,9.45,0.0331486
1983,10,8.8,0,9.48,0.00649422
1983,11,8.5,0,9.34,-0.01139932
1983,12,8.3,0,9.47,-0.00126614
1984,1,8.0,0,9.56,0.01577453
1984,2,7.8,0,9.59,-0.05110677
1984,3,7.8,0,9.91,0.0044395
1984,4,7.7,0,10.29,0.00509494
1984,5,7.4,0,10.32,-0.00250282
1984,6,7.2,0,11.06,-0.01845998
1984,7,7.5,0,11.23,-0.00907178
1984,8,7.5,0,11.64,0.09207846
1984,9,7.3,0,11.30,0.01408151
1984,10,7.4,0,9.99,-0.00409894
1984,11,7.2,0,9.43,0.0128843
1984,12,7.3,0,8.38,-0.00705051
1985,1,7.3,0,8.35,0.04699763
1985,2,7.2,0,8.50,0.05789465
1985,3,7.2,0,8.58,-0.00476322
1985,4,7.3,0,8.27,0.01025951
1985,5,7.2,0,7.97,0.02736865
1985,6,7.4,0,7.53,0.02512169
1985,7,7.4,0,7.88,0.02248691
1985,8,7.1,0,7.90,-0.01843867
1985,9,7.1,0,7.92,-0.01883519
1985,10,7.1,0,7.99,0.01496469
1985,11,7.0,0,8.05,0.06421411
1985,12,7.0,0,8.27,0.05295359
1986,1,6.7,0,8.14,0.00753337
1986,2,7.2,0,7.86,0.05698847
1986,3,7.2,0,7.48,0.0618429
1986,4,7.1,0,6.99,0.02742383
1986,5,7.2,0,6.85,0.00492764
1986,6,7.2,0,6.92,0.03134172
1986,7,7.0,0,6.56,-0.01802442
1986,8,6.9,0,6.17,0.02282357
1986,9,7.0,0,5.89,-0.02454762
1986,10,7.0,0,5.85,-0.0008929
1986,11,6.9,0,6.04,0.03533534
1986,12,6.6,0,6.91,0.01709506
1987,1,6.6,0,6.43,0.06674041
1987,2,6.6,0,6.10,0.06462508
1987,3,6.6,0,6.13,0.04377002
1987,4,6.3,0,6.37,-0.00854701
1987,5,6.3,0,6.85,0.00174559
1987,6,6.2,0,6.73,0.04500173
1987,7,6.1,0,6.58,0.03123387
1987,8,6.0,0,6.73,0.06455265
1987,9,5.9,0,7.22,-0.03029245
1987,10,6.0,0,7.29,-0.11852578
1987,11,5.8,0,6.69,-0.12301927
1987,12,5.7,0,6.77,-0.01332993
1988,1,5.7,0,6.83,0.04248156
1988,2,5.7,0,6.58,0.03330117
1988,3,5.7,0,6.58,0.03233566
1988,4,5.4,0,6.87,-0.00883097
1988,5,5.6,0,7.09,-0.02185305
1988,6,5.4,0,7.51,0.06001236
1988,7,5.4,0,7.75,-0.0030456
1988,8,5.6,0,8.01,-0.01716111
1988,9,5.4,0,8.19,0.01929592
1988,10,5.4,0,8.30,0.03804415
1988,11,5.3,0,8.35,-0.02017544
1988,12,5.3,0,8.76,0.02329336
1989,1,5.4,0,9.12,0.03514567
1989,2,5.2,0,9.36,0.03302285
1989,3,5.0,0,9.85,-0.00158447
1989,4,5.2,0,9.84,0.03566983
1989,5,5.2,0,9.81,0.04118241
1989,6,5.3,0,9.53,0.03397313
1989,7,5.2,0,9.24,0.02801547
1989,8,5.2,0,8.99,0.04693851
1989,9,5.3,0,9.02,0.00459944
1989,10,5.3,0,8.84,0.00287856
1989,11,5.4,0,8.55,-0.01810514
1989,12,5.4,0,8.45,0.02740055
