year,month,UNRATE,USREC,FEDFUNDS,SP500_TR
2010,1,9.8,0,0.11,0.01355692
2010,2,9.8,0,0.13,-0.02899734
2010,3,9.9,0,0.16,0.05941735
2010,4,9.9,0,0.20,0.04088268
2010,5,9.6,0,0.20,-0.05882072
2010,6,9.4,0,0.18,-0.03543218
2010,7,9.4,0,0.18,-0.00158278
2010,8,9.5,0,0.19,0.00864409
2010,9,9.5,0,0.19,0.03371947
2010,10,9.4,0,0.19,0.04578377
2010,11,9.8,0,0.19,0.02491815
2010,12,9.3,0,0.18,0.03714617
2011,1,9.1,0,0.17,0.03463759
2011,2,9.0,0,0.16,0.0315238
2011,3,9.0,0,0.14,-0.01110989
2011,4,9.1,0,0.10,0.02222921
2011,5,9.0,0,0.09,0.00661133
2011,6,9.1,0,0.09,-0.03660711
2011,7,9.0,0,0.07,0.03103548
2011,8,9.0,0,0.10,-0.10398886
2011,9,9.0,0,0.08,-0.00787276
2011,10,8.8,0,0.07,0.03021864
2011,11,8.6,0,0.08,0.01769999
2011,12,8.5,0,0.07,0.01557582
2012,1,8.3,0,0.08,0.04784613
2012,2,8.3,0,0.10,0.04164574
2012,3,8.2,0,0.13,0.02885727
2012,4,8.2,0,0.14,-0.00036271
2012,5,8.2,0,0.16,-0.03089009
2012,6,8.2,0,0.16,-0.01150402
2012,7,8.2,0,0.16,0.02923752
2012,8,8.1,0,0.13,0.03390295
2012,9,7.8,0,0.14,0.0302368
2012,10,7.8,0,0.16,-0.0021394
2012,11,7.7,0,0.16,-0.02834287
2012,12,7.9,0,0.16,0.02178842
2013,1,8.0,0,0.14,0.04270441
2013,2,7.7,0,0.15,0.02334636
2013,3,7.5,0,0.14,0.02724034
2013,4,7.6,0,0.15,0.01455869
2013,5,7.5,0,0.11,0.04576321
2013,6,7.5,0,0.09,-0.0111581
2013,7,7.3,0,0.09,0.03256416
2013,8,7.2,0,0.08,0.00254409
2013,9,7.2,0,0.08,0.01194347
2013,10,7.2,0,0.09,0.02118521
2013,11,6.9,0,0.08,0.03860947
2013,12,6.7,0,0.09,0.01522581
2014,1,6.6,0,0.07,0.00969713
2014,2,6.7,0,0.07,-0.00128146
2014,3,6.7,0,0.08,0.02724165
2014,4,6.2,0,0.09,0.00203438
2014,5,6.3,0,0.09,0.01533748
2014,6,6.1,0,0.10,0.03198008
2014,7,6.2,0,0.09,0.01497406
2014,8,6.1,0,0.09,-0.00425388
2014,9,5.9,0,0.09,0.01779606
2014,10,5.7,0,0.09,-0.0264526
2014,11,5.8,0,0.09,0.05707014
2014,12,5.6,0,0.12,0.00635178
2015,1,5.7,0,0.11,-0.01108193
2015,2,5.5,0,0.11,0.02829274
2015,3,5.4,0,0.11,0.00057191
2015,4,5.4,0,0.12,0.00879652
2015,5,5.6,0,0.12,0.00980137
2015,6,5.3,0,0.13,-0.00434277
2015,7,5.2,0,0.13,-0.00078611
2015,8,5.1,0,0.14,-0.02423376
2015,9,5.0,0,0.14,-0.04506047
2015,10,5.0,0,0.12,0.04318376
2015,11,5.1,0,0.12,0.02933677
2015,12,5.0,0,0.24,-0.01101795
