year,month,UNRATE,USREC,FEDFUNDS,SP500_TR
1948,1,3.4,0,,-0.00863089
1948,2,3.8,0,,-0.04446692
1948,3,4.0,0,,0.01920804
1948,4,3.9,0,,0.08187646
1948,5,3.5,0,,0.05330087
1948,6,3.6,0,,0.04587203
1948,7,3.6,0,,-0.01953693
1948,8,3.9,0,,-0.02485113
1948,9,3.8,0,,-0.00674404
1948,10,3.7,0,,0.03199027
1948,11,3.8,0,,-0.05090591
1948,12,4.0,1,,-0.00147155
1949,1,4.3,1,,0.01638505
1949,2,4.7,1,,-0.03318504
1949,3,5.0,1,,0.0150079
1949,4,5.3,1,,0.00421045
1949,5,6.1,1,,-0.00175358
1949,6,6.2,1,,-0.04905277
1949,7,6.7,1,,0.062674
1949,8,6.8,1,,0.04174193
1949,9,6.6,1,,0.01874864
1949,10,7.9,1,,0.03159743
1949,11,6.4,0,,0.01964899
1949,12,6.6,0,,0.03258845
