year,month,UNRATE,USREC,FEDFUNDS,SP500_TR
2008,1,5.0,1,3.94,-0.06634127
2008,2,4.9,1,2.98,-0.01562817
2008,3,5.1,1,2.61,-0.02625467
2008,4,5.0,1,2.28,0.04244667
2008,5,5.4,1,1.98,0.02563435
2008,6,5.6,1,2.00,-0.0424577
2008,7,5.8,1,2.01,-0.06078182
2008,8,6.1,1,2.00,0.02110844
2008,9,6.1,1,1.81,-0.04847233
2008,10,6.5,1,0.97,-0.20194635
2008,11,6.8,1,0.39,-0.08606667
2008,12,7.3,1,0.16,-0.00352664
2009,1,7.8,1,0.15,-0.01099133
2009,2,8.3,1,0.22,-0.06706133
2009,3,8.7,1,0.18,-0.05691335
2009,4,9.0,1,0.15,0.12315623
2009,5,9.4,1,0.18,0.06654352
2009,6,9.5,1,0.21,0.0286372
2009,7,9.5,0,0.16,0.01272573
2009,8,9.6,0,0.16,0.08115729
2009,9,9.8,0,0.15,0.03645694
2009,10,10.0,0,0.12,0.02399146
2009,11,9.9,0,0.12,0.02090449
2009,12,9.9,0,0.12,0.02222054
