year,month,UNRATE,USREC,FEDFUNDS,SP500_TR
1957,1,4.2,0,2.84,-0.01863216
1957,2,3.9,0,3.00,-0.03996381
1957,3,3.7,0,2.96,0.01619891
1957,4,3.9,0,3.00,0.02644031
1957,5,4.1,0,3.00,0.04160192
1957,6,4.3,0,3.00,0.01954183
1957,7,4.2,0,2.99,0.0232387
1957,8,4.1,0,3.24,-0.05203394
1957,9,4.4,1,3.47,-0.03737638
1957,10,4.5,1,3.50,-0.05894725
1957,11,5.1,1,3.28,-0.01798416
1957,12,5.2,1,2.98,0.00320116
1958,1,5.8,1,2.72,0.02327327
1958,2,6.4,1,1.67,0.00700525
1958,3,6.7,1,1.20,0.02417596
1958,4,7.4,1,1.26,0.00893824
1958,5,7.4,0,0.63,0.03555214
1958,6,7.3,0,0.93,0.02732647
1958,7,7.5,0,0.68,0.03070764
1958,8,7.4,0,1.53,0.04054299
1958,9,7.1,0,1.76,0.02943746
1958,10,6.7,0,1.80,0.04360136
1958,11,6.2,0,2.27,0.03327336
1958,12,6.2,0,2.42,0.02163492
