year,month,UNRATE,USREC,FEDFUNDS,SP500_TR
1990,1,5.4,0,8.23,-0.02209313
1990,2,5.3,0,8.24,-0.02524978
1990,3,5.2,0,8.28,0.02709437
1990,4,5.4,0,8.26,0.00198859
1990,5,5.4,0,8.18,0.03853798
1990,6,5.2,0,8.29,0.03172496
1990,7,5.5,0,8.15,0.00171266
1990,8,5.7,1,8.13,-0.07859917
1990,9,5.9,1,8.20,-0.04339884
1990,10,5.9,1,8.11,-0.02313214
1990,11,6.2,1,7.81,0.02986164
1990,12,6.3,1,7.31,0.04588633
1991,1,6.4,1,6.91,-0.00684748
1991,2,6.6,1,6.25,0.11606944
1991,3,6.8,1,6.12,0.03044544
1991,4,6.7,0,5.91,0.02259276
1991,5,6.9,0,5.78,-0.00178659
1991,6,6.9,0,5.90,0.00347231
1991,7,6.8,0,5.82,0.0078144
1991,8,6.9,0,5.66,0.02679885
1991,9,6.9,0,5.45,-0.00302174
1991,10,7.0,0,5.21,0.00181071
1991,11,7.0,0,4.81,0.00015222
1991,12,7.3,0,4.43,0.00934563
