year,month,UNRATE,USREC,FEDFUNDS,SP500_TR
1960,1,5.2,0,3.99,-0.01480603
1960,2,4.8,0,3.97,-0.03603979
1960,3,5.4,0,3.84,-0.01072666
1960,4,5.2,0,3.92,0.01584777
1960,5,5.1,1,3.85,-0.0062404
1960,6,5.4,1,3.32,0.03988591
1960,7,5.5,1,3.23,-0.02196123
1960,8,5.6,1,2.98,0.01490867
1960,9,5.5,1,2.60,-0.02720757
1960,10,6.1,1,2.47,-0.01673965
1960,11,6.1,1,2.44,0.03540852
1960,12,6.6,1,1.98,0.02690644
1961,1,6.6,1,1.45,0.05426448
1961,2,6.9,1,2.54,0.04373651
1961,3,6.9,0,2.02,0.03396601
1961,4,7.0,0,1.49,0.02919006
1961,5,7.1,0,1.98,0.01263355
1961,6,6.9,0,1.73,-0.01080201
1961,7,7.0,0,1.17,-0.00027092
1961,8,6.6,0,2.00,0.03839819
1961,9,6.7,0,1.88,-0.00540886
1961,10,6.5,0,2.26,0.01345525
1961,11,6.1,0,2.61,0.0477451
1961,12,6.0,0,2.33,0.01165354
